,state,opdDeath,AllOverdoseDeath,OpdDeath%,year,Oxy&Hydocodone,fenty&Tramadol,Methadone,Heroin,White,Black,Hispanic,Race_Total,Male,Female,GenderTotal,0-24,25-34,35-44,45-54,55+,AgeTotal
1,Alabama,187,547,0.34,2010,82,34,78,0,177,0,0,177,117,70,187,24,61,43,44,15,187
2,Alaska,62,83,0.75,2010,38,10,25,0,49,0,0,49,32,30,49,0,12,17,20,0,62
3,Arizona,626,1098,0.57,2010,327,68,106,90,483,19,91,593,372,254,626,86,138,116,168,118,626
4,Arkansas,189,350,0.54,2010,118,57,56,0,177,0,0,177,101,88,189,30,53,47,35,24,189
5,California,1929,4057,0.48,2010,1063,205,456,326,1442,130,302,1874,1225,704,1929,201,304,349,573,502,1929
6,Colorado,304,654,0.46,2010,135,58,48,46,246,10,45,301,178,126,304,38,64,65,90,47,304
7,Connecticut,223,363,0.61,2010,41,22,43,77,193,10,19,222,154,69,223,25,38,63,76,21,223
8,Delaware,103,145,0.71,2010,47,14,20,16,92,0,0,92,58,45,0,0,0,0,0,0,103
9,District of Columbia,34,78,0.44,2010,0,0,0,16,0,0,0,0,0,0,24,0,0,10,14,0,34
10,Florida,1674,3061,0.55,2010,1169,146,439,51,1477,54,115,1646,1104,570,1674,171,409,369,452,273,1674
11,Georgia,534,1054,0.51,2010,305,103,150,10,494,0,0,494,311,223,534,74,107,126,148,79,534
12,Hawaii,74,151,0.49,2010,40,0,14,0,43,0,0,43,52,22,0,0,0,0,0,0,74
13,Idaho,79,178,0.44,2010,42,14,26,0,75,0,0,75,39,40,0,0,0,0,0,0,79
14,Illinois,867,1288,0.67,2010,175,115,79,150,665,124,68,857,596,271,867,126,219,214,217,91,867
15,Indiana,289,927,0.31,2010,140,49,62,56,262,0,0,262,190,99,289,42,88,54,77,28,289
16,Iowa,147,253,0.58,2010,75,43,39,0,142,0,0,142,86,61,147,15,28,39,51,14,147
17,Kansas,104,269,0.39,2010,52,18,27,0,93,0,0,93,68,36,104,15,18,24,36,11,104
18,Kentucky,591,1007,0.59,2010,436,53,118,37,577,0,0,577,396,195,591,51,149,179,158,54,591
19,Louisiana,123,591,0.21,2010,68,21,18,14,112,0,0,112,73,50,123,16,31,32,31,13,123
20,Maine,90,135,0.67,2010,52,21,36,0,88,0,0,88,60,30,0,0,0,0,0,0,90
21,Maryland,509,650,0.78,2010,205,51,172,94,384,0,0,384,328,181,509,62,120,119,156,52,509
22,Massachusetts,549,738,0.74,2010,170,68,83,68,492,22,33,547,376,173,549,56,143,137,136,77,549
23,Michigan,695,1394,0.5,2010,244,85,158,215,573,80,35,688,442,253,695,85,154,139,206,111,695
24,Minnesota,235,397,0.59,2010,100,37,62,16,195,0,0,195,136,99,235,29,54,50,67,35,235
25,Mississippi,100,334,0.3,2010,53,25,21,0,97,0,0,97,53,47,0,0,0,0,0,0,100
26,Missouri,599,998,0.6,2010,248,92,78,183,541,0,0,541,407,192,598,83,168,137,145,65,599
27,Montana,54,118,0.46,2010,33,10,12,0,44,0,0,44,28,26,44,0,16,18,10,0,54
28,Nebraska,58,117,0.5,2010,33,21,14,0,53,0,0,53,30,28,35,0,0,21,14,0,58
