State,range,rate,number,Year
AL,16.1 to 18.5,16.2,756,2016
AK,16.1 to 18.5,16.8,128,2016
AZ,18.6 to 21.0,20.3,"1,382",2016
AR,13.6 to 16.0,14,401,2016
CA,11.1 to 13.5,11.2,"4,654",2016
CO,16.1 to 18.5,16.6,942,2016
CT,21.1 to 52.0,27.4,971,2016
DE,21.1 to 52.0,30.8,282,2016
DC,21.1 to 52.0,38.8,269,2016
FL,21.1 to 52.0,23.7,"4,728",2016
GA,11.1 to 13.5,13.3,"1,394",2016
HI,11.1 to 13.5,12.8,191,2016
ID,13.6 to 16.0,15.2,243,2016
IL,18.6 to 21.0,18.9,"2,411",2016
IN,21.1 to 52.0,24,"1,526",2016
IA,6.9 to 11.0,10.6,314,2016
KS,11.1 to 13.5,11.1,313,2016
KY,21.1 to 52.0,33.5,"1,419",2016
LA,21.1 to 52.0,21.8,996,2016
ME,21.1 to 52.0,28.7,353,2016
MD,21.1 to 52.0,33.2,"2,044",2016
MA,21.1 to 52.0,33,"2,227",2016
MI,21.1 to 52.0,24.4,"2,347",2016
MN,11.1 to 13.5,12.5,672,2016
MS,11.1 to 13.5,12.1,352,2016
MO,21.1 to 52.0,23.6,"1,371",2016
MT,11.1 to 13.5,11.7,119,2016
NE,6.9 to 11.0,6.4,120,2016
NV,21.1 to 52.0,21.7,665,2016
NH,21.1 to 52.0,39,481,2016
NJ,21.1 to 52.0,23.2,"2,056",2016
NM,21.1 to 52.0,25.2,500,2016
NY,16.1 to 18.5,18,"3,638",2016
NC,18.6 to 21.0,19.7,"1,956",2016
ND,6.9 to 11.0,10.6,77,2016
OH,21.1 to 52.0,39.1,"4,329",2016
OK,21.1 to 52.0,21.5,813,2016
OR,11.1 to 13.5,11.9,506,2016
PA,21.1 to 52.0,37.9,"4,627",2016
RI,21.1 to 52.0,30.8,326,2016
SC,16.1 to 18.5,18.1,879,2016
SD,6.9 to 11.0,8.4,69,2016
TN,21.1 to 52.0,24.5,"1,630",2016
TX,6.9 to 11.0,10.1,"2,831",2016
UT,21.1 to 52.0,22.4,635,2016
VT,21.1 to 52.0,22.2,125,2016
VA,16.1 to 18.5,16.7,"1,405",2016
WA,13.6 to 16.0,14.5,"1,102",2016
WV,21.1 to 52.0,52,884,2016
WI,18.6 to 21.0,19.3,"1,074",2016
WY,16.1 to 18.5,17.6,99,2016
AL,13.6 to 16.0,15.7,736,2015
AK,13.6 to 16.0,16,122,2015
AZ,18.6 to 21.0,19,"1,274",2015
AR,13.6 to 16.0,13.8,392,2015
CA,11.1 to 13.5,11.3,"4,659",2015
CO,13.6 to 16.0,15.4,869,2015
CT,21.0 to 41.5,22.1,800,2015
DE,21.0 to 41.5,22,198,2015
DC,18.6 to 21.0,18.6,125,2015
FL,16.1 to 18.5,16.2,"3,228",2015
GA,11.1 to 13.5,12.7,"1,302",2015
HI,11.1 to 13.5,11.3,169,2015
ID,13.6 to 16.0,14.2,218,2015
IL,13.6 to 16.0,14.1,"1,835",2015
IN,18.6 to 21.0,19.5,"1,245",2015
IA,6.9 to 11.0,10.3,309,2015
KS,11.1 to 13.5,11.8,329,2015
KY,21.0 to 41.5,29.9,"1,273",2015
LA,18.6 to 21.0,19,861,2015
ME,21.0 to 41.5,21.2,269,2015
MD,18.6 to 21.0,20.9,"1,285",2015
MA,21.0 to 41.5,25.7,"1,724",2015
MI,18.6 to 21.0,20.4,"1,980",2015
MN,6.9 to 11.0,10.6,581,2015
MS,11.1 to 13.5,12.3,351,2015
MO,16.1 to 18.5,17.9,"1,066",2015
MT,13.6 to 16.0,13.8,138,2015
NE,6.9 to 11.0,6.9,126,2015
NV,18.6 to 21.0,20.4,619,2015
NH,21.0 to 41.5,34.3,422,2015
NJ,16.1 to 18.5,16.3,"1,454",2015
NM,21.0 to 41.5,25.3,501,2015
